,10,20,30,10_errup,20_errup,30_errup,10_errdn,20_errdn,30_errdn
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5,0.956750141559379,0.9208153165016204,0.8872420620419414,0.978145229839764,0.9537735713009173,0.9204073528634334,0.9353550532789939,0.8878570617023235,0.8540767712204494
10,0.9761316064975348,0.9448861561649531,0.9158363737800697,0.989510789305807,0.9729188705407835,0.9440401887479204,0.9627524236892625,0.9168534417891228,0.887632558812219
15,0.9788221626355323,0.9498182998225922,0.9224676672960662,0.9915610365345003,0.9762891555936388,0.9493506972272527,0.9660832887365645,0.923347444051546,0.8955846373648797
20,0.9793746100708667,0.9508847137851626,0.9240217560912442,0.9920905445646453,0.977469858341177,0.9502372234539288,0.966658675577088,0.9242995692291486,0.8978062887285594
30,0.978442589273643,0.9506820472919063,0.9246447451610621,0.9925008025210245,0.9762810644676511,0.9511064452868815,0.9643843760262614,0.9250830301161617,0.8981830450352426
40,0.9776594348094225,0.9490309616163984,0.9233693759439379,0.9922355304963199,0.9745115680043785,0.950398405594371,0.9630833391225252,0.9235503552284183,0.8963403462935048
50,0.9763171415193691,0.9476479604976742,0.922134028645376,0.991713502023065,0.9736939934277976,0.9491729924043633,0.9609207810156729,0.9216019275675507,0.8950950648863887
60,0.9747085111071665,0.9461603328967423,0.9202646098224917,0.9905930877236969,0.9727448679343793,0.94743569777629,0.9588239344906363,0.9195757978591054,0.8930935218686932
80,0.968743699869042,0.9394252614630769,0.9163505730248788,0.9871170498018511,0.968084173687174,0.9445878578990672,0.9503703499362328,0.9107663492389798,0.8881132881506905
100,0.9556664536021041,0.9251346352322969,0.9045374678132623,0.9798650937015244,0.9584866438567099,0.9350245980517369,0.9314678135026839,0.8917826266078837,0.8740503375747878
